10.355936,4.184408,5.992857
10.353559,4.367243,5.991616
10.351128,4.549993,5.961649
10.348949,4.732659,5.891254
10.347329,4.915245,5.791749
10.346575,5.097754,5.694561
10.346993,5.280187,5.626046
10.348890,5.462548,5.596889
10.352572,5.644840,5.589656
10.358039,5.827074,5.551740
10.364031,6.009301,5.428653
10.368963,6.191580,5.212732
10.371249,6.373972,4.941234
10.369303,6.556537,4.647351
10.361540,6.739335,4.320109
10.346375,6.922426,3.902384
10.322222,7.105870,3.331121
10.286688,7.288461,2.609279
10.234223,7.464054,1.866385
10.158506,7.625296,1.321513
10.053219,7.764837,1.116120
9.915233,7.877124,1.241112
9.752001,7.962563,1.647599
9.573165,8.022796,2.237345
9.388363,8.059463,2.898908
9.204863,8.075755,3.549979
9.023122,8.079302,4.095137
8.842387,8.078525,4.417483
8.661903,8.081840,4.422347
8.481114,8.093148,4.074218
8.300007,8.103747,3.436341
8.118669,8.102753,2.675125
7.937185,8.079284,1.973388
7.758223,8.025513,1.448675
7.591658,7.942139,1.145727
7.448611,7.831340,1.035154
7.340200,7.695291,1.081969
7.272843,7.537148,1.384219
7.239132,7.362944,2.067036
7.229132,7.179235,3.012409
7.232920,6.992567,3.945484
7.243000,6.807389,4.674904
7.256853,6.623840,5.132669
7.272572,6.441532,5.307058
7.288254,6.260075,5.232682
7.301991,6.079082,5.013320
7.311879,5.898161,4.791746
7.316011,5.716925,4.683866
7.312496,5.534985,4.723202
7.301405,5.352172,4.840462
7.286825,5.168762,4.912953
7.273333,4.985085,4.849238
7.265480,4.801472,4.603444
7.263637,4.618327,4.143020
7.259518,4.436205,3.482891
7.243766,4.255679,2.725896
7.207039,4.077340,2.013107
7.142993,3.904604,1.464618
7.051622,3.746865,1.152519
6.933726,3.614276,1.085116
6.790144,3.516885,1.300223
6.624502,3.456767,1.894392
6.445065,3.422729,2.798497
6.260476,3.402411,3.716075
6.076026,3.388034,4.389754
5.892063,3.378584,4.774943
5.708538,3.373592,4.971613
5.525401,3.372586,5.090867
5.342603,3.375097,5.193455
5.160095,3.380655,5.299745
4.977827,3.388788,5.414964
4.795750,3.399027,5.541169
4.613815,3.410901,5.676554
4.431972,3.423940,5.805423
4.250173,3.437674,5.889244
4.068366,3.451633,5.888684
3.886504,3.465345,5.810255
3.704537,3.478341,5.706296
3.522416,3.490151,5.629365
3.340092,3.500311,5.607159
3.157553,3.508687,5.644688
2.974840,3.515618,5.731679
2.791997,3.521475,5.843258
2.609070,3.526633,5.935171
2.426104,3.531462,5.963190
2.243142,3.536337,5.915866
2.060230,3.541631,5.811290
1.877412,3.547715,5.687012
1.694733,3.554964,5.569038
1.512238,3.563749,5.458303
1.329971,3.574444,5.329925
1.147978,3.587421,5.115443
0.966302,3.603054,4.711187
0.784989,3.621715,4.076665
0.604150,3.643973,3.345432
0.426601,3.678343,2.757537
0.258509,3.743180,2.433345
0.098286,3.833794,2.293663
-0.065465,3.916268,2.263520
-0.238343,3.969500,2.441224
-0.417064,3.992952,2.954417
-0.598730,3.994106,3.733696
-0.781743,3.988289,4.530887
-0.965179,3.984292,5.129603
-1.148846,3.982233,5.487637
-1.332596,3.981690,5.693803
-1.516282,3.982245,5.837228
-1.699756,3.983476,5.937481
-1.882872,3.984965,5.980517
-2.065482,3.986292,5.979302
-2.247443,3.987043,5.968169
-2.428809,3.987069,5.973142
-2.609875,3.986544,5.988023
-2.790951,3.985666,5.996863
-2.972347,3.984631,5.992899
-3.154375,3.983633,5.954253
-3.337343,3.982871,5.823022
-3.521564,3.982540,5.538722
-3.707318,3.982778,5.089389
-3.893880,3.981680,4.506535
-4.079281,3.974824,3.845645
-4.261478,3.957630,3.171622
-4.438425,3.925518,2.546412
-4.608076,3.873909,2.019080
-4.768388,3.798224,1.609673
-4.917165,3.694098,1.309890
-5.048658,3.562231,1.124258
-5.153512,3.408467,1.096300
-5.222209,3.238877,1.290109
-5.247001,3.059567,1.738074
-5.248952,2.877172,2.349230
-5.269870,2.698309,2.956936
-5.314367,2.523372,3.406332
-5.359751,2.348277,3.608713
-5.393170,2.171073,3.598273
-5.413616,1.992335,3.499077
-5.420716,1.812775,3.408061
-5.414097,1.633106,3.344344
-5.393386,1.454039,3.280071
-5.358211,1.276286,3.162647
-5.308199,1.100560,2.923389
-5.242977,0.927575,2.526976
-5.161403,0.760533,2.044489
-5.060106,0.609861,1.654099
-4.936350,0.485488,1.535826
-4.792873,0.387832,1.758342
-4.634151,0.314078,2.260629
-4.464058,0.260264,2.914837
-4.286112,0.221750,3.590652
-4.103829,0.193888,4.185719
-3.920475,0.172312,4.641668
-3.737174,0.155109,4.955951
-3.553954,0.141620,5.171776
-3.370833,0.131197,5.344209
-3.187830,0.123192,5.510418
-3.004963,0.116956,5.679926
-2.822249,0.111841,5.834612
-2.639709,0.107200,5.941268
-2.457355,0.102431,5.987919
-2.275167,0.097369,5.998942
-2.093107,0.092077,6.000000
-1.911135,0.086620,6.000000
-1.729212,0.081063,6.000000
-1.547299,0.075471,6.000000
-1.365356,0.069911,6.000000
-1.183345,0.064446,6.000000
-1.001225,0.059143,6.000000
-0.818959,0.054067,5.999868
-0.636505,0.049282,5.998350
-0.453827,0.044855,5.991284
-0.270883,0.040851,5.973709
-0.087635,0.037334,5.945318
0.095956,0.034370,5.901394
0.279929,0.032025,5.816978
0.464295,0.030260,5.663680
0.648806,0.028151,5.440542
0.833089,0.024332,5.175118
1.016768,0.017429,4.900368
1.199468,0.006071,4.640229
1.380814,-0.011114,4.416241
1.560429,-0.035498,4.259893
1.737940,-0.068452,4.209657
1.913046,-0.111089,4.290480
2.086044,-0.162488,4.494762
2.257511,-0.220779,4.779219
2.428025,-0.284086,5.070262
2.598162,-0.350531,5.275930
2.768502,-0.418238,5.324709
2.939620,-0.485331,5.215885
3.112032,-0.549993,5.014322
3.285812,-0.610838,4.788451
3.460846,-0.666659,4.570046
3.637022,-0.716249,4.363364
3.814227,-0.758402,4.169190
3.992347,-0.791912,3.999557
4.171270,-0.815573,3.881097
4.350882,-0.828178,3.845988
4.531066,-0.828762,3.913074
4.711675,-0.818139,4.074747
4.892549,-0.797905,4.303502
5.073527,-0.769665,4.570875
5.254449,-0.735020,4.858479
5.435154,-0.695574,5.150368
5.615482,-0.652930,5.414288
5.795273,-0.608689,5.595883
5.974399,-0.564364,5.649338
6.152949,-0.520842,5.580736
6.331105,-0.478756,5.442525
6.509047,-0.438737,5.286167
6.686957,-0.401415,5.139089
6.865015,-0.367422,5.017375
7.043403,-0.337389,4.941440
7.222300,-0.311947,4.935730
7.401874,-0.291548,5.015358
7.582193,-0.275514,5.172216
7.763291,-0.262715,5.367376
7.945198,-0.252023,5.530224
8.127946,-0.242307,5.578934
8.311568,-0.232440,5.470448
8.496095,-0.221291,5.229284
8.681426,-0.207650,4.912775
8.866595,-0.189778,4.565160
9.050291,-0.165728,4.206491
9.231205,-0.133549,3.836976
9.408025,-0.091292,3.426000
9.579440,-0.037009,2.900219
9.744138,0.031250,2.225106
9.900810,0.115435,1.564122
10.045028,0.218717,1.183072
10.153305,0.351759,1.209781
10.205527,0.521917,1.780348
10.224898,0.711433,2.915602
10.240232,0.900094,4.181256
10.256801,1.084753,5.089053
