time,x,y,yaw,speed,steering,lap_id,trial_id,lap_time,collision,collision_count,collision_x,collision_y,min_lidar_range
0.290473,0,0,0,0,0,0,0,0.290473,0,0,0,0,0.927016
0.294308,0,0,0,0,0,0,0,0.294308,0,0,0,0,0.927016
0.298556,0,0,0,0,0,0,0,0.298556,0,0,0,0,0.927016
0.306064,0,0,0,0,0,0,0,0.306064,0,0,0,0,0.927016
0.306752,0,0,0,0,0,0,0,0.306752,0,0,0,0,0.927016
0.310612,0,0,0,0,0,0,0,0.310612,0,0,0,0,0.927016
0.314422,0,0,0,0,0,0,0,0.314422,0,0,0,0,0.927016
0.319042,0,0,0,0,0,0,0,0.319042,0,0,0,0,0.927016
0.322326,0,0,0,0,0,0,0,0.322326,0,0,0,0,0.927016
0.326335,0,0,0,0,0,0,0,0.326335,0,0,0,0,0.927016
0.330399,0,0,0,0,0,0,0,0.330399,0,0,0,0,0.927016
0.338,0,0,0,0,0,0,0,0.338,0,0,0,0,0.927016
0.338807,0,0,0,0,0,0,0,0.338807,0,0,0,0,0.927016
0.343206,0,0,0,0,0,0,0,0.343206,0,0,0,0,0.927016
0.34655,0,0,0,0,0,0,0,0.34655,0,0,0,0,0.927016
0.351101,0,0,0,0,0,0,0,0.351101,0,0,0,0,0.927016
0.354338,0,0,0,0,0,0,0,0.354338,0,0,0,0,0.927016
0.358727,0,0,0,0,0,0,0,0.358727,0,0,0,0,0.927016
0.362668,0,0,0,0,0,0,0,0.362668,0,0,0,0,0.927016
0.373027,0,0,0,0,0,0,0,0.373027,0,0,0,0,0.927016
0.378157,0,0,0,0,0,0,0,0.378157,0,0,0,0,0.927016
0.379382,0,0,0,0,0,0,0,0.379382,0,0,0,0,0.927016
0.382703,0,0,0,0,0,0,0,0.382703,0,0,0,0,0.927016
0.386678,0,0,0,0,0,0,0,0.386678,0,0,0,0,0.927016
0.390473,0,0,0,0,0,0,0,0.390473,0,0,0,0,0.927016
0.394671,0,0,0,0,0,0,0,0.394671,0,0,0,0,0.927016
0.399103,0,0,0,0,0,0,0,0.399103,0,0,0,0,0.927016
0.406696,0,0,0,0,0,0,0,0.406696,0,0,0,0,0.927016
0.413367,0,0,0,0,0,0,0,0.413367,0,0,0,0,0.927016
0.415289,0,0,0,0,0,0,0,0.415289,0,0,0,0,0.927016
0.41916,0,0,0,0,0,0,0,0.41916,0,0,0,0,0.927016
0.422349,0,0,0,0,0,0,0,0.422349,0,0,0,0,0.927016
0.426321,0,0,0,0,0,0,0,0.426321,0,0,0,0,0.927016
0.430696,0,0,0,0,0,0,0,0.430696,0,0,0,0,0.927016
0.439262,0,0,0,0,0,0,0,0.439262,0,0,0,0,0.927016
0.43945,0,0,0,0,0,0,0,0.43945,0,0,0,0,0.927016
0.443526,0,0,0,0,0,0,0,0.443526,0,0,0,0,0.927016
0.446629,0,0,0,0,0,0,0,0.446629,0,0,0,0,0.927016
0.450846,0,0,0,0,0,0,0,0.450846,0,0,0,0,0.927016
0.454376,0,0,0,0,0,0,0,0.454376,0,0,0,0,0.927016
0.458452,0,0,0,0,0,0,0,0.458452,0,0,0,0,0.927016
0.465998,0,0,0,0,0,0,0,0.465998,0,0,0,0,0.927016
0.467164,0,0,0,0,0,0,0,0.467164,0,0,0,0,0.927016
0.473205,0,0,0,0,0,0,0,0.473205,0,0,0,0,0.927016
0.474357,0,0,0,0,0,0,0,0.474357,0,0,0,0,0.927016
0.478442,0,0,0,0,0,0,0,0.478442,0,0,0,0,0.927016
0.482354,0,0,0,0,0,0,0,0.482354,0,0,0,0,0.927016
0.486428,0,0,0,0,0,0,0,0.486428,0,0,0,0,0.927016
0.490781,0,0,0,0,0,0,0,0.490781,0,0,0,0,0.927016
0.494481,0,0,0,0,0,0,0,0.494481,0,0,0,0,0.927016
0.501949,0,0,0,0,0,0,0,0.501949,0,0,0,0,0.927016
0.503113,0,0,0,0,0,0,0,0.503113,0,0,0,0,0.927016
0.507675,0,0,0,0,0,0,0,0.507675,0,0,0,0,0.927016
0.510455,0,0,0,0,0,0,0,0.510455,0,0,0,0,0.927016
0.514279,0,0,0,0,0,0,0,0.514279,0,0,0,0,0.927016
0.518319,0,0,0,0,0,0,0,0.518319,0,0,0,0,0.927016
0.522588,0,0,0,0,0,0,0,0.522588,0,0,0,0,0.927016
0.526452,0,0,0,0,0,0,0,0.526452,0,0,0,0,0.927016
0.532462,0,0,0,0,0,0,0,0.532462,0,0,0,0,0.927016
0.535306,0,0,0,0,0,0,0,0.535306,0,0,0,0,0.927016
0.538652,0,0,0,0,0,0,0,0.538652,0,0,0,0,0.927016
0.542353,0,0,0,0,0,0,0,0.542353,0,0,0,0,0.927016
0.546425,0,0,0,0,0,0,0,0.546425,0,0,0,0,0.927016
0.550977,0,0,0,0,0,0,0,0.550977,0,0,0,0,0.927016
0.5548,0,0,0,0,0,0,0,0.5548,0,0,0,0,0.927016
0.558647,0,0,0,0,0,0,0,0.558647,0,0,0,0,0.927016
0.565757,0,0,0,0,0,0,0,0.565757,0,0,0,0,0.927016
0.569211,0,0,0,0,0,0,0,0.569211,0,0,0,0,0.927016
0.571129,0,0,0,0,0,0,0,0.571129,0,0,0,0,0.927016
0.57447,0,0,0,0,0,0,0,0.57447,0,0,0,0,0.927016
0.578547,0,0,0,0,0,0,0,0.578547,0,0,0,0,0.927016
0.58259,0,0,0,0,0,0,0,0.58259,0,0,0,0,0.927016
0.586618,0,0,0,0,0,0,0,0.586618,0,0,0,0,0.927016
0.590619,0,0,0,0,0,0,0,0.590619,0,0,0,0,0.927016
0.59622,0,0,0,0,0,0,0,0.59622,0,0,0,0,0.927016
0.599945,0,0,0,0,0,0,0,0.599945,0,0,0,0,0.927016
0.602439,0,0,0,0,0,0,0,0.602439,0,0,0,0,0.927016
0.606531,0,0,0,0,0,0,0,0.606531,0,0,0,0,0.927016
0.61054,0,0,0,0,0,0,0,0.61054,0,0,0,0,0.927016
0.614448,0,0,0,0,0,0,0,0.614448,0,0,0,0,0.927016
0.618603,0,0,0,0,0,0,0,0.618603,0,0,0,0,0.927016
0.622519,0,0,0,0,0,0,0,0.622519,0,0,0,0,0.927016
0.628091,0,0,0,0,0,0,0,0.628091,0,0,0,0,0.927016
0.632655,0,0,0,0,0,0,0,0.632655,0,0,0,0,0.927016
0.634549,0,0,0,0,0,0,0,0.634549,0,0,0,0,0.927016
0.638387,0,0,0,0,0,0,0,0.638387,0,0,0,0,0.927016
0.642964,0,0,0,0,0,0,0,0.642964,0,0,0,0,0.927016
0.646987,0,0,0,0,0,0,0,0.646987,0,0,0,0,0.927016
0.65116,0,0,0,0,0,0,0,0.65116,0,0,0,0,0.927016
0.658958,0,0,0,0,0,0,0,0.658958,0,0,0,0,0.927016
0.663249,0,0,0,0,0,0,0,0.663249,0,0,0,0,0.927016
0.666502,0,0,0,0,0,0,0,0.666502,0,0,0,0,0.927016
0.670782,0,0,0,0,0,0,0,0.670782,0,0,0,0,0.927016
0.674596,0,0,0,0,0,0,0,0.674596,0,0,0,0,0.927016
0.678501,0,0,0,0,0,0,0,0.678501,0,0,0,0,0.927016
0.682397,0,0,0,0,0,0,0,0.682397,0,0,0,0,0.927016
0.692455,0,0,0,0,0,0,0,0.692455,0,0,0,0,0.927016
0.692685,0,0,0,0,0,0,0,0.692685,0,0,0,0,0.927016
0.69597,0,0,0,0,0,0,0,0.69597,0,0,0,0,0.927016
0.698254,0,0,0,0,0,0,0,0.698254,0,0,0,0,0.927016
0.702674,0,0,0,0,0,0,0,0.702674,0,0,0,0,0.927016
0.706553,0,0,0,0,0,0,0,0.706553,0,0,0,0,0.927016
0.710358,0,0,0,0,0,0,0,0.710358,0,0,0,0,0.927016
0.714394,0,0,0,0,0,0,0,0.714394,0,0,0,0,0.927016
0.719076,0,0,0,0,0,0,0,0.719076,0,0,0,0,0.927016
0.728715,0,0,0,0,0,0,0,0.728715,0,0,0,0,0.927016
0.729319,0,0,0,0,0,0,0,0.729319,0,0,0,0,0.927016
0.731056,0,0,0,0,0,0,0,0.731056,0,0,0,0,0.927016
0.735218,0,0,0,0,0,0,0,0.735218,0,0,0,0,0.927016
0.738268,0,0,0,0,0,0,0,0.738268,0,0,0,0,0.927016
0.742331,0,0,0,0,0,0,0,0.742331,0,0,0,0,0.927016
0.746298,0,0,0,0,0,0,0,0.746298,0,0,0,0,0.927016
0.750482,0,0,0,0,0,0,0,0.750482,0,0,0,0,0.927016
0.759977,0,0,0,0,0,0,0,0.759977,0,0,0,0,0.927016
0.760364,0,0,0,0,0,0,0,0.760364,0,0,0,0,0.927016
0.763048,0,0,0,0,0,0,0,0.763048,0,0,0,0,0.927016
0.766566,0,0,0,0,0,0,0,0.766566,0,0,0,0,0.927016
